country_code,abbr_region,n_pub_country,n_pub_region,prop_pub_country_region,n_researcher_country,n_researcher_region,prop_researcher_country_region,ave_pub_researcher,r_pub
BR,LAC,1329646,2320930,0.572893625,684462,1125044,0.608386872,1.942614784,1
MX,LAC,350402,2320930,0.150974825,150980,1125044,0.134199196,2.320850444,2
AR,LAC,218160,2320930,0.093996803,81713,1125044,0.072630937,2.669832218,3
CL,LAC,192465,2320930,0.08292581,68561,1125044,0.060940728,2.80720818,4
CO,LAC,127783,2320930,0.055056809,65312,1125044,0.058052841,1.956501102,5
PE,LAC,43114,2320930,0.018576174,23609,1125044,0.020984957,1.826167987,6
EC,LAC,30373,2320930,0.013086564,14746,1125044,0.013107043,2.059745016,7
VE,LAC,26543,2320930,0.011436364,12023,1125044,0.010686693,2.20768527,8
UY,LAC,23049,2320930,0.009930933,8662,1125044,0.007699254,2.66093281,9
CU,LAC,17737,2320930,0.007642195,10073,1125044,0.008953428,1.760845825,10
CR,LAC,16815,2320930,0.007244941,7446,1125044,0.006618408,2.258259468,11
PA,LAC,9164,2320930,0.003948417,2929,1125044,0.002603454,3.128712871,12
JM,LAC,6787,2320930,0.002924259,2588,1125044,0.002300354,2.622488408,13
TT,LAC,6394,2320930,0.00275493,2329,1125044,0.002070141,2.745384285,14
BO,LAC,4030,2320930,0.001736373,1743,1125044,0.001549273,2.312105565,15
GD,LAC,3305,2320930,0.001423998,1324,1125044,0.001176843,2.496223565,16
GT,LAC,2883,2320930,0.001242174,1575,1125044,0.001399945,1.83047619,17
PY,LAC,2665,2320930,0.001148247,1569,1125044,0.001394612,1.698534098,18
BB,LAC,2552,2320930,0.001099559,868,1125044,0.000771525,2.940092166,19
HN,LAC,2203,2320930,0.000949188,1157,1125044,0.001028404,1.90406223,20
NI,LAC,2097,2320930,0.000903517,1275,1125044,0.001133289,1.644705882,21
DO,LAC,1973,2320930,0.00085009,1103,1125044,0.000980406,1.788757933,22
SV,LAC,1841,2320930,0.000793217,870,1125044,0.000773303,2.116091954,23
KN,LAC,1223,2320930,0.000526944,464,1125044,0.000412428,2.635775862,24
BS,LAC,768,2320930,0.000330902,257,1125044,0.000228436,2.988326848,25
HT,LAC,719,2320930,0.00030979,633,1125044,0.000562645,1.135860979,26
CW,LAC,527,2320930,0.000227064,274,1125044,0.000243546,1.923357664,27
SR,LAC,461,2320930,0.000198627,242,1125044,0.000215103,1.904958678,28
GY,LAC,418,2320930,0.0001801,214,1125044,0.000190215,1.953271028,29
AG,LAC,205,2320930,8.83E-05,127,1125044,0.000112884,1.614173228,30
SX,LAC,160,2320930,6.89E-05,95,1125044,8.44E-05,1.684210526,31
BZ,LAC,148,2320930,6.38E-05,70,1125044,6.22E-05,2.114285714,32
AW,LAC,147,2320930,6.33E-05,68,1125044,6.04E-05,2.161764706,33
KY,LAC,121,2320930,5.21E-05,61,1125044,5.42E-05,1.983606557,34
LC,LAC,109,2320930,4.70E-05,69,1125044,6.13E-05,1.579710145,35
DM,LAC,71,2320930,3.06E-05,51,1125044,4.53E-05,1.392156863,36
TC,LAC,68,2320930,2.93E-05,14,1125044,1.24E-05,4.857142857,37
VC,LAC,30,2320930,1.29E-05,28,1125044,2.49E-05,1.071428571,38
IN,SA,2266424,2688494,0.843008763,830965,1011574,0.821457451,2.727460242,1
PK,SA,245766,2688494,0.091414004,93985,1011574,0.092909664,2.614949194,2
BD,SA,112746,2688494,0.041936489,54882,1011574,0.054254063,2.054334755,3
LK,SA,40626,2688494,0.015111062,16771,1011574,0.016579113,2.422395802,4
NP,SA,38150,2688494,0.0141901,17400,1011574,0.017200917,2.192528736,5
AF,SA,1882,2688494,0.00070002,865,1011574,0.000855103,2.175722543,6
BT,SA,1209,2688494,0.000449694,657,1011574,0.000649483,1.840182648,7
MV,SA,220,2688494,8.18E-05,123,1011574,0.000121593,1.788617886,8
ZA,SSA,367193,820791,0.447364798,97660,312916,0.312096537,3.759911939,1
NG,SSA,148973,820791,0.18149931,68654,312916,0.219400734,2.169909983,2
ET,SSA,60242,820791,0.073395054,25742,312916,0.082264889,2.340222205,3
KE,SSA,51460,820791,0.062695619,21031,312916,0.06720973,2.446864153,4
GH,SSA,42212,820791,0.051428439,16427,312916,0.052496517,2.569671882,5
UG,SSA,29418,820791,0.035841036,12053,312916,0.038518324,2.440720153,6
TZ,SSA,26004,820791,0.031681634,9719,312916,0.031059454,2.675583908,7
CM,SSA,25744,820791,0.031364866,12607,312916,0.040288768,2.042040136,8
ZW,SSA,13673,820791,0.016658321,5270,312916,0.01684158,2.594497154,9
SD,SSA,12487,820791,0.015213373,6143,312916,0.019631467,2.032720169,10
SN,SSA,11318,820791,0.013789138,6199,312916,0.019810428,1.825778351,11
MW,SSA,10564,820791,0.012870511,4094,312916,0.013083383,2.580361505,12
BW,SSA,8991,820791,0.010954067,3044,312916,0.00972785,2.953679369,13
ZM,SSA,8003,820791,0.009750351,3769,312916,0.012044766,2.123374901,14
BJ,SSA,7596,820791,0.009254487,3892,312916,0.012437843,1.951695786,15
BF,SSA,7484,820791,0.009118034,3864,312916,0.012348362,1.936853002,16
CI,SSA,7311,820791,0.008907261,5160,312916,0.016490048,1.416860465,17
MZ,SSA,6179,820791,0.007528104,3460,312916,0.011057281,1.78583815,18
RW,SSA,5989,820791,0.00729662,2845,312916,0.009091897,2.105096661,19
CD,SSA,5379,820791,0.006553434,3310,312916,0.010577919,1.625075529,20
NA,SSA,4506,820791,0.005489826,1483,312916,0.004739291,3.038435604,21
MU,SSA,4404,820791,0.005365556,1109,312916,0.003544082,3.971145176,22
MG,SSA,3848,820791,0.004688161,1965,312916,0.006279641,1.95826972,23
GM,SSA,3549,820791,0.004323878,1684,312916,0.005381636,2.107482185,24
ML,SSA,2883,820791,0.003512465,1777,312916,0.00567884,1.622397299,25
GA,SSA,2718,820791,0.00331144,1341,312916,0.004285495,2.026845638,26
CG,SSA,2564,820791,0.003123816,1619,312916,0.005173912,1.583693638,27
TG,SSA,2509,820791,0.003056807,1398,312916,0.004467653,1.794706724,28
NE,SSA,1727,820791,0.002104068,1068,312916,0.003413057,1.617041199,29
SL,SSA,1572,820791,0.001915226,767,312916,0.002451137,2.049543677,30
SZ,SSA,1382,820791,0.001683742,492,312916,0.001572307,2.808943089,31
GN,SSA,871,820791,0.001061171,789,312916,0.002521443,1.103929024,32
LS,SSA,830,820791,0.00101122,349,312916,0.001115315,2.378223496,33
GW,SSA,699,820791,0.000851618,284,312916,0.000907592,2.461267606,34
BI,SSA,672,820791,0.000818722,346,312916,0.001105728,1.942196532,35
CF,SSA,589,820791,0.0007176,326,312916,0.001041813,1.806748466,36
LR,SSA,539,820791,0.000656684,328,312916,0.001048205,1.643292683,37
AO,SSA,526,820791,0.000640845,311,312916,0.000993877,1.691318328,38
SC,SSA,502,820791,0.000611605,177,312916,0.000565647,2.836158192,39
SO,SSA,462,820791,0.000562872,283,312916,0.000904396,1.632508834,40
TD,SSA,419,820791,0.000510483,247,312916,0.000789349,1.696356275,41
MR,SSA,387,820791,0.000471496,212,312916,0.000677498,1.825471698,42
CV,SSA,270,820791,0.000328951,144,312916,0.000460187,1.875,43
ER,SSA,186,820791,0.000226611,78,312916,0.000249268,2.384615385,44
SS,SSA,131,820791,0.000159602,74,312916,0.000236485,1.77027027,45
ST,SSA,29,820791,3.53E-05,23,312916,7.35E-05,1.260869565,46
GQ,SSA,19,820791,2.31E-05,14,312916,4.47E-05,1.357142857,47
